2020-12-15 13:18:27.100 [restartedMain] ERROR org.springframework.boot.context.logging.LoggingApplicationListener - Cannot set level 'trace;' for 'com.uwntek.worklog.dao'
2020-12-15 13:18:27.273 [restartedMain] INFO  com.uwntek.worklog.WorklogApplication - Starting WorklogApplication on zhangjindeMacBook-Pro.local with PID 15236 (/Users/zhangjin/IdeaProjects/worklog/target/classes started by zhangjin in /Users/zhangjin/IdeaProjects/worklog)
2020-12-15 13:18:27.275 [restartedMain] INFO  com.uwntek.worklog.WorklogApplication - No active profile set, falling back to default profiles: default
2020-12-15 13:18:27.328 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-12-15 13:18:27.328 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-12-15 13:18:28.332 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-15 13:18:28.339 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-12-15 13:18:28.390 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.DeptDAO.
2020-12-15 13:18:28.391 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.Monthlog1DAO.
2020-12-15 13:18:28.392 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.Monthlog2DAO.
2020-12-15 13:18:28.394 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.Monthlog3DAO.
2020-12-15 13:18:28.395 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.Monthlog4DAO.
2020-12-15 13:18:28.397 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.MonthlogconclusionDAO.
2020-12-15 13:18:28.398 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.MonthlogplanDAO.
2020-12-15 13:18:28.399 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.PermissionDAO.
2020-12-15 13:18:28.400 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.PositionDAO.
2020-12-15 13:18:28.401 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.RoleDAO.
2020-12-15 13:18:28.402 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.RolePermissionDAO.
2020-12-15 13:18:28.404 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.UserDAO.
2020-12-15 13:18:28.405 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.UserRoleDAO.
2020-12-15 13:18:28.405 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.WorklogDAO.
2020-12-15 13:18:28.406 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 61ms. Found 0 repository interfaces.
2020-12-15 13:18:28.417 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-15 13:18:28.418 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-12-15 13:18:28.480 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 59ms. Found 14 repository interfaces.
2020-12-15 13:18:28.493 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-12-15 13:18:28.495 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2020-12-15 13:18:28.513 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.DeptDAO.
2020-12-15 13:18:28.513 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.Monthlog1DAO.
2020-12-15 13:18:28.514 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.Monthlog2DAO.
2020-12-15 13:18:28.514 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.Monthlog3DAO.
2020-12-15 13:18:28.514 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.Monthlog4DAO.
2020-12-15 13:18:28.515 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.MonthlogconclusionDAO.
2020-12-15 13:18:28.515 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.MonthlogplanDAO.
2020-12-15 13:18:28.516 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.PermissionDAO.
2020-12-15 13:18:28.516 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.PositionDAO.
2020-12-15 13:18:28.517 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.RoleDAO.
2020-12-15 13:18:28.517 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.RolePermissionDAO.
2020-12-15 13:18:28.517 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.UserDAO.
2020-12-15 13:18:28.518 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.UserRoleDAO.
2020-12-15 13:18:28.518 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.WorklogDAO.
2020-12-15 13:18:28.518 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 repository interfaces.
2020-12-15 13:18:28.862 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$a9637800] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-12-15 13:18:28.880 [restartedMain] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfiguration' of type [com.uwntek.worklog.config.ShiroConfiguration$$EnhancerBySpringCGLIB$$7984c468] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
