2021-01-08 09:28:48.424 [restartedMain] INFO  com.uwntek.worklog.WorklogApplication - Starting WorklogApplication on zhangjindeMacBook-Pro.local with PID 17189 (/Users/zhangjin/IdeaProjects/worklog/target/classes started by zhangjin in /Users/zhangjin/IdeaProjects/worklog)
2021-01-08 09:28:48.466 [restartedMain] INFO  com.uwntek.worklog.WorklogApplication - No active profile set, falling back to default profiles: default
2021-01-08 09:28:48.496 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-01-08 09:28:48.496 [restartedMain] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-01-08 09:28:49.246 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-01-08 09:28:49.248 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2021-01-08 09:28:49.292 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.DeptDAO.
2021-01-08 09:28:49.293 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.ExperienceDAO.
2021-01-08 09:28:49.295 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.FileUpdateDAO.
2021-01-08 09:28:49.296 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.MonthlogDAO.
2021-01-08 09:28:49.298 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.PermissionDAO.
2021-01-08 09:28:49.299 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.PositionDAO.
2021-01-08 09:28:49.300 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.RoleDAO.
2021-01-08 09:28:49.301 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.RolePermissionDAO.
2021-01-08 09:28:49.302 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.UserDAO.
2021-01-08 09:28:49.303 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.UserRoleDAO.
2021-01-08 09:28:49.304 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport - Spring Data Elasticsearch - Could not safely identify store assignment for repository candidate interface com.uwntek.worklog.dao.WorklogDAO.
2021-01-08 09:28:49.305 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 53ms. Found 0 repository interfaces.
2021-01-08 09:28:49.310 [restartedMain] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
